0,1,2
Ла-Ла Ленд (2016),"Не думаю, что будет преувеличением сказать, что “Ла-ла Ленд”  стал открытием года. Признание критиков и зрителей, всевозможные награды, успех в прокате - кажется, фильм, чьё название многие месяцы было у всех на слуху, должен быть чем-то совершенно экстраординарным. 

Что же на самом деле? Все гораздо проще, и, я думаю, в этой простоте и заключается экстраординарность. 

“Ла-ла Ленд” - это земля классических американских мюзиклов середины прошлого века, с яркими красками, зажигательными танцами, наивными мечтами, - потерянная земля. Фильм возвращает нас в  тот самый мир, полный чудес, где можно отдохнуть от привычной суеты и насладиться прекрасным.  Он создает атмосферу воздушной легкости, невыносимой легкости, кажется, еще мгновение, и ты взлетишь вместе с героями фильма. Его сюжет незамысловат, даже слишком хорошо знаком, и все же он цепляет своей изящностью, и, в первую очередь, тем, что обращён напрямую к каждому из нас. Голливудский фильм об успехе в Голливуде - он не только рефлексивен сам, но и побуждает нас к рефлексии, ведь у каждого в зрительном зале есть своя сокровенная мечта, о которой и напоминает сюжет фильма. Он становится чем-то личным для нас, понятным и понимающим, как друг. Любовь двух людей в “Ла-ла Ленде” возвышенная и совершенная, не слащавая и настоящая, какую трудно отыскать в большинстве современных фильмов. Такая любовь - тоже часть большой прекрасной мечты, которую так или иначе, бессознательно или осознано лелеет каждый, отчего созерцание ее на экране не просто оставляет зрителя с умиленным вздохом, а дает понять, что такая любовь существует - хотя бы в мире “Ла-ла Ленда”, и пусть даже не навсегда. 

Если говорить об актерах, лично я давно не видела на экране настолько гармоничной пары, как Райан Гослинг и Эмма Стоун. Их типажи выделяются на фоне популярных голливудских звёзд, они (не побоюсь этого слова) старомодно красивы, что делает их незаменимыми героями “Поющих под дождем” 21-ого века. 

И, конечно же, джаз. Он не умирает, не может быть вытеснен безвкусной поп-музыкой, в стране “Ла-ла” он играет в кафе, на улицах и даже в пробках. Он довершает сказочную атмосферу страны чудес, где счастье абсолютно, а грусть от несбыточного - светлая. И он будет звучать в вашей голове даже после того, как на экране появятся непривычные и обескураживающие буквы:

THE END.",good
Ла-Ла Ленд (2016),"Откуда появляется любовь? Какой-нибудь придурок в дорожной пробке, которому покажешь средний палец, может оказаться тем, кто когда-нибудь услышит от тебя: «Я буду всегда любить тебя». Зачарованная чудесной мелодией, ты невольно заходишь в кафе и застаешь того самого придурка в ту минуту, когда его вышвыривают с работы. И ты еще не догадываешься, что он станет самым дорогим тебе человеком. Кто бы мог подумать, что ты будешь готова посвятить свою жизнь неудачнику, помешанному на умирающем и ненавидимом тобой жанре музыки. Главное, если тебе будет легко с ним, как будто знаешь его с прошлых воплощений своей души, то это верный признак, что ты нашла того единственного человека из толпы, который поднимет тебя над землей. 

Вот так любовь возникает будто бы ниоткуда. И исчезает она в никуда. Она как хрупкая бесценная ваза, на которую боятся дышать, но рано или поздно неосторожным прикосновением смахнут ее на пол. Но и тогда острые края ее осколков будут ранить воспоминаниями, сожалениями, кратковременными пробуждениями уснувших чувств. Любовь как нежный огонек свечи, готовый погаснуть от легкого дуновения ветра и неизбежно погибающий, как только догорит фитиль. Но еще долго глаза в темноте будут ослеплены ее светом. Любовь невозможно загнать в рамки науки. Ни один ученый не отважится разложить на химические элементы тот неумолимый зов, что связывает два сердца. И какое дело любящей душе до земного притяжения, если ей захочется воспарить ввысь.

Наша любовь явилась, когда мы нуждались в ней. И ушла, когда она начала мешать. Я пыталась вообразить, как сложилась бы наша жизнь, если бы мы не расстались. Получилась сказка, слишком красивая, чтобы быть правдивой. Вероятно, наша лодка разбилась бы о быт. Или разлучил нас кто-то третий. Было бы невозможным счастьем добиться исполнения наших земных желаний и остаться вместе. Мы должны были чего-то лишиться, становясь успешными членами общества. Как Некто позволил убить своего сына для спасения мира, так и мы принесли в жертву самое дорогое, что у нас было – нашу любовь. Не стыдно ли тебе хоть немного, любимый мой, за час нашего расставания? Я добилась всего, о чем мечтала. Но отчего и теперь, через много лет, так больно, будто от сердца отрезали огромный кусок?! Счастлив ли ты сегодня, достигнув своей цели? 

А может, мы и не любили? Просто проводили время вместе, потому что одиночество невыносимо? Или просто изображали пару, потому что это престижно? Или за любовь мы приняли жалость друг к другу? Ведь мы оба тогда были на мели. Может, любовь удел лишь обездоленных и неустроенных? Почему нет, – это было бы справедливо. Что бедные могут подарить друг другу, кроме нежности? С другой стороны, сможет ли обеспеченный и занявший место под солнцем найти в своем плотном графике время для свиданий под луной? Не проще ли ему открыть кошелек и получить все и сразу? Ты нашел простой рецепт – чтобы сохранить любовь, надо видеться чаще. Но новое расписание нашей жизни уже не позволяло этого. 

Так была ли любовь? Неужели могут быть сомнения? Почему твой джаз-клуб для меня был важнее, чем для тебя самого? Когда ты остановился на полпути к своей мечте, разве я не приняла это как личную обиду, и мы серьезно не поссорились тогда? Ты продолжал верить, что я буду успешной актрисой, в то время как я сама опустила руки. Я отчаялась добиться признания своего таланта. Разве ты не отыскал меня тогда, не зная адреса, и не разбудил противным автомобильным гудком, рискуя быть побитым соседями? Разве ты не вдохновил меня еще на одну попытку? И при этом прекрасно понимал, что в случае моего успеха мы могли никогда больше не увидеться. Выходит, ты сознательно приближал разлуку. Но это и есть проявление истинной любви. Если для счастья любимого человека надо отойти в сторону, - сделай это.

И что же, к чему я пришла? Я вдруг поняла такую вещь. Любовь не возникает внезапно и не исчезает бесследно. Она живет в нас всегда, даже до нашего рождения, и не умирает вместе с нашими бренными телами. В нужный или, как может показаться, неподходящий, момент она пробуждается, чтобы когда-нибудь снова уснуть. Разве мы не чувствуем иногда, как напоминание об ушедшей любви заставляет наши сердца биться чаще? И только актерское мастерство не даст мне разрыдаться от радости и горя, когда однажды, нечаянно, мы встретимся с тобой глазами или вдруг в воздухе разольется та музыка, которую способен сыграть только ты, а услышать могу только я.",good
Ла-Ла Ленд (2016),"По крайней мере я хочу, чтобы так было. Из кинотеатра я вышел с четким ощущением, что спустя года, когда меня спросит мой ребенок: 'Папа, а на каких фильмах ты рос?', то я определенно не вспомню всяких Трансформеров, Форсажи и, да простите меня, эпизоды Звездных Войн после 6-го. Но я точно хочу вспомнить этот фильм. И не просто хочу - я его вспомню. Потому что посмотрев один раз его невозможно забыть.

Даже сложно сказать почему. Вроде все стандартно - обычная любовная история с капелькой реализма. Ну или ведром. Но есть в этом фильме что-то воздушное, неуловимое, но в то же время утонченное, что придает ему шарм с первой секунды и не отпускает даже на титрах. Но если все же пытаться объяснить, то я бы определил 3 составляющие успеха.

1. Джаз

Черт возьми, он здесь не случаен. И он более, чем в тему. Хотя бы потому, что никакой другой стиль не способен так точно передать саму жизнь. Ведь если задуматься мы действительно живем как исполнители этого жанра. Мы придумываем какие-то заготовки наперед, но в процессе становится понятно, что жизнь и текущий момент куда интереснее, и начинается импровизация. И совсем не факт что кончится она тем, что мы планировали. Что не всегда плохо, к слову. Хотя и навевает некую грусть.

Я не слушаю джаз повседневно. Вообще я встречаюсь с ним изредка. Но такие встречи как сегодня воодушевляют.  

2. Жизнь

А еще они позволяют вспомнить, что такое на самом деле жизнь. Что это не погоня за деньгами и славой, хотя так и можно решить по профессии главных персонажей. Жизнь - это путь к воплощению мечты. У каждого - своей. Хотя мы и забываем об этом, уносясь в пучину карьеры и дурных привычек. Мы постоянно обсуждаем кто сколько зарабатывает, где живет и, о Боже, с кем спит. Вместо того, чтобы обсуждать, как сделать этот мир лучше.

И La La Land не просто говорит об этом. Он кричит.

3. Простота

И кричит он без лишней мишуры. Здесь нет пафосных диалогов о том, что такое мечта (парадоксально, когда фильм собственно о ней), о вечной любви и мифической справедливости. И это, наверное, главный компонент. Главным героям веришь. Потому что они не герои.

Они - как мы. Обычные люди, которые достаточно часто сомневаются, теряются по своему жизненному пути и не боятся признаться, что не знают, куда забрели. За фильм я ни разу не закатил глаза и не подумал: 'О Боже, опять эти сопли-слюни на 7,5 минут'. А это, вспомните сами, встречается не так уж часто. Потому что в реальной жизни 80% всех этих соплей мы не говорим вслух. Мы их чувствуем. И здесь происходит тоже самое, что делает этот фильм самым настоящим из тех, что я смотрел за последние год или два.

Все это я пишу сейчас под саундтрек этого самого фильма. Под пение того самого Райана Гослинга и той самой Эммы Стоун (к слову очень даже неплохое, как ни странно). Пишу вместо того, чтобы готовиться к своему первому проекту завтра. Ну или вместо сна - это я пока не решил. И пишу я конечно далеко не идеально - я способен на большее, если продумывать и редактировать текст час или два. Однако я не стану это делать, потому что хочу, чтобы в нем была не логика. Я хочу, чтобы в нем были эмоции, которые я действительно сейчас испытываю.

И я точно пишу не зря, так как еще 20 минут назад я просто не мог сконцентрироваться ни на чем другом кроме этого шикарного фильма, а вот теперь меня постепенно отпускает.

Пожалуй, я создам для себя традицию пересматривать этот фильм и сделать его классикой. Хотя бы для себя. Потому что он действительно про нас с вами. И про то, какая на самом деле жизнь, хотя мы так усиленно стараемся этого не замечать.

La La Land про то, что жизнь - это джаз! Осталось просто найти свою мелодию Ну и не забывать наслаждаться ею!

10 из 10",good
Ла-Ла Ленд (2016),"'Ла-ла-лэнд' - это фильм, идя на который я не видел трейлера и совершенно не знал, что меня ждет. В начале фильма немного смутила песня водителей машин на мосту, но это скорее всего из-за того, что не ожидал увидеть мюзикл. В дальнейшем происходит знакомство с героями Гослинга и Стоун. К слову сказать играют они очень гармонично и очень подходят под эти роли. В течении фильма вы постепенно влюбляетесь в главных героев как и должно быть в любом хорошем кино. Я чувствовал удовольствие от всех красивых сцен и не менее красивых песен. Все действие построено очень гармонично и здесь с каждой минутой поражает огромная работа проведенная актерами. Я имею ввиду танцы и песни, ведь человек сцены более интересен режиссеру, если он способен спеть или станцевать что-то достаточно сложное. Безусловно, главное в этом фильме - любовь и если в тебе есть хоть капля романтики, то нельзя его пропускать и лучше посмотреть в кино! Кстати отлично 'озвучивает любовь' кем-то любимый, а кем-то нет - джаз. Я абсолютно не поклонник джаза, но послушав Райана Гослинга, начинаешь прислушиваться и он нравится тебе все больше... Ну и конечно концовка, думаю тут мнения людей разделятся, но сделан довольно интересный финал, за что режиссеру спасибо, и да, я бы конечно его идеализировал, но это ведь не мне решать. Напоследок хочется сказать, даже если вы не посмотрели фильм, послушайте песню City of stars, она Вам безусловно понравится. На данный момент мне кажется, что могу слушать ее бесконечно... 

10 из 10

P.S. Первая моя рецензия, не судите строго.",good
Ла-Ла Ленд (2016),"Пишу сразу после того, как прибежала из кинотеатра, потому что не оставить этот фильм без внимания, а именно без очередной похвалы, невозможно! 

Потрясающе! Восхитительно! Завораживающие! Эти и другие восторги кричали во мне, когда пошли титры картины. Из кинозала я выходила с широченной улыбкой и была не единственная с таким выражением лица.

Я не критик, чтобы рассматривать фильм под лупой, искать детали и смысл в каждом движении и монологе персонажа. Диалогов, монологов и вообще текста было то немного. Проще фильм оценивать по эмоциям, которые фильм из тебя выжил. А здесь я испытала всю политру. Но пока хочу отметить только смех. Шутки не уровня ударился/ударили/прилетело об угол/косяк/мячом в одно место и тд., и нет ни одной тупой шуточки ниже пояса, которые современный американский кинематограф готов вставлять куда-угодно. Смешно просто потому что актеры хорошо играют, вызывают искреннюю улыбку их милое глупое поведение. 

Также хочу отметить игру Эммы Стоун и Райана Гослинга. Прекрасная экранная пара. Им веришь, веришь в их любовь, страсть, мечту. Особенно мне нравились близкие планы глаз героини ( как в советском кино). Когда не мимика лица показывает эмоции, а только глаза. Вот тогда я начала верить. И все зрители поверили. При приближении кульминации, в зале не было слышно ни одного перешептывания, все просто замели в своих креслах. Напряженный момент... И всхлипывания на задних рядах. Чудесно!

Что уж говорить о музыке? А я начинаю любить джаз после просмотра двух картин Дэмьена Шазелла. 

Кстати, я толком и не поняла в каком времени происходит действие: в романтичные 20-е или в деловой и нервной современности. Все музыка, музыка, музыка..и панорамы и декорации, за них отдельное спасибо!

В общем итоге, я верю, нет, я уверена, что фильм попадет на Оскар, а может и унесет его с собой! Браво создателям! Советую к просмотру даже просто ради получения эстетического удовольствия. 

10 из 10",good
Ла-Ла Ленд (2016),"

«Бесстрашным мечтателям посвящается…» - так гласит слоган новой картины Дэмьена Шазелла. Действительно: хотите посмотреть что-то мотивирующее? Не надо тратить деньги на пресловутые и тупые тренинги, часами читать многотомные трактаты, где переливается пустое в порожнее. Достаточно просто уделить два часа мягкому креслу кинотеатра, ажурно мурлыкая и бормоча от удовольствия что-то себе под нос.

Фильм ламповый, яркий, простой, динамичный. С технической точки зрения - образец для подражания, открывающая сцена на автостраде задает ритм на все 120 минут, от экрана не отлипнешь, даже, если на стоянке торгового центра шарахнет ядерная бомба, а 'Скайнет' начнет долгожданный конец света. Фильм как алмаз, драгоценность, которой нет цены. До просмотра 'Ла-Ла-Ленда' угораздило увидеть 'Голоса большой страны' - вот уже где показан настоящий курятник, с жалкими каверами и хромающим на обе ноги сценарием (создалось стойкое ощущение, что кино снимали большим пальцем левой ноги). На этом фоне, 'Ла-ла-Ленд' как бальзам на душу, к которому нарочно ищешь, где придраться, не находишь, и от досады еще больше радуешься. 

Сюжет линейный, лишь в конце произойдет фирменная шьямалоновская многоходовочка, которая на пару минут выведет зрителя из равновесия. Впрочем, ее итогом станет вполне логичный финал, показывающий 'цену бессмертия', и что к любым берегам можно пришвартоваться, если знаешь, чего хочешь и желаешь.

Помнится, была видеокассета с 'Знакомьтесь, Джо Блэк'. Там была броская кричащая рекламная фраза: 'Фильм на все времена'. Это же утверждение применимо и к 'Ла-Ла-Ленду'.",good
Ла-Ла Ленд (2016),"О том, что за исполнение любой мечты приходится сполна расплачиваться знает по собственному опыту каждый из нас. Жизнь, как как «щедрый» кредитор рано или поздно подводит баланс, спрашивая по счетам и начисляя пени за несвоевременную оплату. На эту тему снято уже достаточно много картин, но, пожалуй, ни в одной из них она не раскрывается так просто, изящно и потрясающе красиво, как в фильме «Ла-Ла-Ленд» Дэмьена Шазелла. 

Второй фильм начинающего режиссера-виртуоза о «цене мечты» получился ослепительно ярким и космически невесомым. «Ла-Ла-Ленд» удивляет своим внутренним балансом, которого катастрофически не хватает абсолютному большинству картин, выходящих в последние годы. Сильная режиссерская работа; идеальный, «вкусный» визуальный ряд с безупречной колористикой (спасибо операторам, костюмерам, хореографам и мастерам по визуальным эффектам);  добротная игра всех актеров; очень качественный, ровный саундтрек без проходных, откровенных слабых музыкальных композиций (именно наличием лишь одной «звездной» композиции грешат современные мюзиклы, здесь этого удалось избежать)… И даже в общем-то избитый сюжет, наверное единственное за что можно немного покритиковать фильм, уравновешивается нехарактерным для жанра красивым драматическим финалом, открывающим широкое поле для различных трактовок (а была ли вся эта красивая история любви?). Все эти составляющие картины идеально гармонируют друг с другом, объединяясь в то единое целое, которое и принято называть «большое кино». 

В остатке от просмотра фильма остается светлая грусть и, как ни странно, вера в идеальную «Лалаландию», где на улице вечное лето, в душе постоянно весна, любимые не расстаются, а за заветную мечту не приходится расплачиваться чем-то существенно более важным…",good
Ла-Ла Ленд (2016),"- А я заснула на «Ла-Ла Ленде», - сказала подруга. – Что в нём такое?

Вот так слёту поди ответь на этот вопрос, тем более я из тех зрителей, кто мюзиклы не любит по определению. А после «Отверженных» Тома Хупера и вовсе зареклась смотреть их впредь. Но, разумеется, когда вышел «Ла-Ла-Ленд», стало любопытно, что это за шумиха вокруг фильма, откуда почти немыслимый для мюзикла рейтинг среди зрителей, и как случился этот неожиданный триумф на «Золотом Глобусе» - аж 7 наград! И да, совсем недавно я посмотрела музыкальную драму Дэмьена Шазелла, того же самого режиссёра - «Одержимость», - и это было нечто невероятное – почти шедевр, несмотря на почти юный для режиссёра возраст – 28 лет. Конечно, я решила рискнуть и глянуть на его новое творение.

Начальная сцена мне не понравилась совсем – показалась банальной, хотя и отточенной стилистически, визуально яркой и насыщенной. Другая сцена, где соседки зовут главную героиню Мию (Эмма Стоун) на вечеринку в Голливуд хиллс, даже вызвала раздражение – слишком много искусственности и явное преобладание формы над содержанием.

Уже думала бросить. Но дальше всё изменилось.

Оказалось, что картина не искусство ради искусства, но об искусстве, а вернее, о столь любимых Шазеллом кинематографе и джазе, с явным преобладанием последнего. И тут порадовали отсылки к «Одержимости» - над «Ла-Ла-Лендом» работали несколько человек из прежнего состава, в том числе композитор Джастин Гурвиц, с которым Шазелл дружил ещё с Гарварда, и даже жил с ним в одной комнате, и первый студенческий фильм у них был общим.

Кроме того, в эпизодической роли засветился и Дж. К. Симмонс, который в «Одержимости» играл фанатично преданного джазу, деспотичного и требовательного наставника главного героя. В «Ла-Ла-Ленде» персонаж Симмонса – владелец ресторана – словно в шутку, ярый ненавистник джаза, он даже выгоняет главного героя пианиста Себастьяна (Райан Гослинг) с работы за нарушение его требований к репертуару.

Сюжет очень прост. Двое молодых людей в Лос-Анджелесе: парень и девушка – мечтатели. Он – бедный музыкант, пианист, одержимый музыкой и мечтающий открыть клуб, чтобы дать умирающему джазу второе дыхание. Она – буфетчица в кафе неподалёку от киностудии, обслуживает знаменитостей, а в свободное время бегает на прослушивания, потому что больше всего на свете хочет стать кинозвездой. Они случайно сталкиваются, раз, другой, третий, их судьбы переплетаются, и между ними вспыхивает любовь. Но искусство – и того, и другого – требует жертв. И жертв немалых, а самой большой – любви. В конечном итоге, мечта каждого реализуется, но оказывается несовместимой со счастьем – с тем счастьем, которое могло бы быть у них обоих, сцены несостоявшейся жизни проскальзывают калейдоскопом в финале.

Картина очень красивая, романтичная и ностальгическая. Этим очень цепляет. Да ещё личным отношением режиссёра – ведь это он сам хотел бы дать новую жизнь и старому джазу, и старому кинематографу…

8 из 10",good
Ла-Ла Ленд (2016),"Новости о фильме 'Ла-Ла Ленд' лезли со всех сторон. Его хвалили, им восхищались, он получал различные награды. Однако фильма я не ждал вообще и шел только из любопытства. Я не фанат ни Эммы Стоун, ни Райана Гослинга, хотя оба актера хороши. Также не рискну назвать себя фанатом мюзиклов, хотя ряд мюзиклов Тима Бертона входят в список любимых фильмов. В общем, был я настроен крайне скептически. Что же вышло?

Давайте начнем с сюжета. Скажу сразу, что по первой сцене мгновенно станет ясно - нравится вам этот фильм или нет. Не знаю как этот эффект удался режиссеру картины, но все настроение фильма, вся его атмосфера были переданы уже в первой сцене, ощущения невероятные. Сюжет у фильма не совсем о любви, он скорее о мечтателях, его условно можно разделить на две части: жизни героев до отношений и после. Лично для меня первая половина фильма прошла намного интереснее. Занятно было наблюдать за жизнью главных героев, Мии и Себастьяна, за их интересами, попытками стать теми, кем они всегда хотели. Каждая их новая встреча вызывала смех, интригу, а главное заинтересованность в их дальнейших взаимоотношениях. И это работало. Однако уже во второй половине ленты шарм растерялся, но у этого есть только одна причина, при чем субъективная. Я не ощущал химии между Мией и Себастьяном, я не верил в их отношения. При этом я не хочу сказать, что актеры сыграли плохо, нет, они великолепны. Но все выглядело настолько фальшиво и неправдоподобно, что рушило для меня атмосферу ленты. От этого все сцены смотрятся хуже и не берут эмоционально так, как могли бы. Также спорным моментом для меня стал финал ленты. С одной стороны я доволен тем, как все закончилось, однако из-за конкретно определенной сцены у меня появились сомнения. Как по мне, так жизни героев могли бы сложиться по другому, при чем ни у кого бы это не вызвало проблем. Сцена хороша и достигает наибольшего эмоционального накала, но после нее все равно остается осадок. Из-за этого лично меня финал затронул не настолько сильно насколько он мог бы.

Скажу о песнях. Они хорошие, врезаются в память, приятные на слух. Но одна половина вываливается в первые 30 минут, а другие две-три песни тянутся весь фильм. При чем обидно, что одна из основных идей фильма буквально подается в песне, вместо того, чтобы дать зрителям самим к ней прийти. Эта неравномерность в подаче смутила. Но повторяю, песни на достойном уровне и благо, что их не стали дублировать, за счет этого они довольно легко воспринимаются.

В фильме затронуто очень много интересных тем и идей. Понравилась основная мораль, которая буквально вытаскивает фильм из всех типичных мюзиклов и мелодрам. Хороший посыл, который не напрягает и не навязывается. 

Визуальный ряд и операторская работа на высоте. Картинка яркая, насыщенная, каждый кадр будто нарисован профессиональным художником. Картину буквально съедаешь глазами. Антураж и атмосфера Голливуда чувствуется как никогда. 

'Ла-Ла Ленд' получился хорошим фильмом, но, как по мне, довольно сильно перехваленным. Я не увидел в картине шедевра, хотя она мне безусловна понравилась. Также хочу отметить, что те пункты, из-за которых ощущения от фильма подпортились, были чистым субъективизмом. Но стоит сказать, что 'Ла-Ла Ленд' фильм не для любого зрителя. Если человек способен переваривать абсолютно любой жанр, то тогда к просмотру можно. Однако есть много людей, которым фильм покажется откровенным бредом. Для меня же 'Ла-Ла Ленд' - это неплохая картина, с отличной актерской игрой, сочной картинкой и хорошим моральным посылом. Но шедевром, новым словом в кино или каким-то откровением назвать эту картину я не могу.

7 из 10",good
Ла-Ла Ленд (2016),"Предыстория: я ждал 'Ла-Ла Ленд' где-то с лета прошлого года, и ожидал от него многого, в первую очередь из-за 'Одержимости', прошлой работы Дамьена Шазелла, режиссера 'Ла-Ла Ленда', а также узнав, кто будет исполнять роли, был уверен в успехе этого фильма. Стоит заметить, Дамьену Шазеллу тема музыки очень близка, видно, что он по-настоящему любит музыку, а в особенности джаз, с такой же любовью относится и к кинематографу. Слияние любви к этим двум видам искусства подарило нам две картины о мечтаниях:  мечта о становлении великим барабанщиком в 'Одержимость', а также мечты начинающей актрисы и джаз-музыканта в 'Ла-Ла Ленд', и если 'Одержимость' кроваво-напряженная драма, то 'Ла-Ла Ленд' волшебный мюзикл. 

Так-с, перейдем к главным причинам, почему я считаю этот фильм лучшим из всех, мною просмотренных, да и не я один так считаю, в доводы к этому: 1) восторженные критики; 2) большинство людей, просмотревших этот фильм. На сеансе фильма было много людей, к моему удивлению: не ожидал такого; после фильма весь зал хлопал, люди ушли с улыбками на лицах и хорошим настроением. Сам же я вышел из зала весьма радостным: фильм оправдал все мои ожидания, получил большую порцию удовольствия, смотря этот фильм. 

1. Актерская игра Эммы Стоун и Райана Гослинга, главные персонажи. Оба сыграли отлично, могу сказать, что их роли в этом фильме - одни из лучших за всю их актерскую карьеру. Их химия видна, как и в фильме 'Эта дурацкая любовь', где они также играют влюбленных, и кажется, будто они и в самом деле - по-настоящему влюблены, но причина этого в том, что они шикарные актёры, заслуживающие 'Оскара', а не в том, что актеры просто играют свою реальную любовь для большого экрана, самих себя, нет, у Гослинга есть жена, и дети, да и видно, что Эмма и Райан очень хорошие друзья, и дружба их позволяет им без каких-либо скованностей играть влюбленных. 

Когда фильм только начали снимать, на главные роли могли взять Эмму Уотсон и Майлза Теллера, однако из-за плотного графика они отказались от этих ролей, возможно, к счастью. Уверен, они могли бы сыграть хорошо, может быть, даже отлично, но сыграть настоящих влюбленных как Райан и Эмма вряд ли.

Эмма Стоун - моя любимая актриса, и с каждым фильмом, в котором она играет, она играет всё лучше и лучше. Стоун сыграла в фильме Мию, неудачливую актрису, работающую в кофейне, и мечтающую о славе с самого детства, то и дело ходя с одного кастинга на другой. 

Райан Гослинг же сыграл персонажа с похожей судьбой, Себастьяна, музыканта, любящего джаз и готового отдать самого себя полностью, лишь бы джаз возродился и вернул себе былую популярность двадцатых годов XX-го века. 

Сыграв начинающих, неудачливых музыканта и актрису, они сыграли мечтателей, готовых пройти через все препятствия, чтобы достигнуть своей цели. 

Также в фильме присутствуют Дж. К. Симмонс, его тут очень мало, появлений всего-то 3, и Джон Ледженд, хороший певец и неплохой актёр, сыгравший идеологического антагониста главного героя. 

2. Музыка. Как же говорить о мюзикле, и не сказать о музыке в нём? Бывают такие мюзиклы, где актеры играют очень хорошо, но поют плохо, здесь же и игра актеров, и песни в исполнении самих актеров - восхитительны. Голоса Эммы Стоун и Райана Гослинга прекрасны. Песни 'City of Stars' и 'Lovely Night' - запали в душу, и навсегда останутся в моём сердце. 

Композитор Джастин Гурвиц прекрасно справился со своей задачей. Музыка здесь дополняет сюжет, не беря на себя всё, но дополняет так сильно, что не замечаешь насколько прост сюжет (он прост, но концовка стала немного неожиданной для меня, я думал, что мюзиклы всегда заканчиваются банальным хэппи-эндом, но не тут-то было). Да и кроме самих песен исполненных самими актерами, тут есть музыка и без слов, играющая во время немюзикловых сцен, и она хорошо добавляет атмосферности сказочного Лос-Анджелеса. 

3. Работа режиссера и оператора. Фильм, который красив не только персонажами, музыкой, сказочностью и проч. и проч., но и своей картинкой. Каждый кадр здесь можно запечатлить и повесить в рамочку, чтобы наслаждаться прекрасным. 

4. Новаторство в нынешнем кинематографе. Я не фанат мюзиклов, но этот фильм я ждал и впоследствии полюбил. Мюзикл, созданный для всех, способный стать любимым для многих. Я всегда думал, что фильмы в жанре мюзикл - это легкое кино, развлечение на один день, однако я ошибался: этот фильм поразил меня своей необыкновенностью и сказочностью. И если вам надоели эти голливудские однотипные фильмы, то добро пожаловать в 'Ла-Ла Ленд', волшебное место, где музыка и кино слились в одну большую сказку. 

'Ла-Ла Ленд' - прекрасная история, говорящая о том, как важно мечтать, стараться, не сдаваться ради своей мечты, проходить сквозь огонь и лёд. Это фильм о мечтаниях, ради которых стоит пожертвовать всем, что у тебя есть, временем, и даже любовью. Фильм стал мечтой режиссера Дэмьена Шазелла, который отказался от всех сторонних проектов ради него. 

'Ла-Ла Ленд' - это тот фильм, который я буду пересматривать огромное количество раз; тот фильм, саундтрек которого я буду слушать всегда; тот фильм, который я посоветую каждому знакомому; тот фильм, который является слиянием всего прекрасного миров музыки и кинематографа. Вот он - сказочный мюзикл XXI-го века.",good
